Proteome_ID	corr	a_type	c_type	c_name	code	kingdom
UP000001304	0.5564148840746572	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000536	0.3672338234892737	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000006681	0.5969368849124157	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001901	0.4896450979856983	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000000740	0.4228753118967394	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002593	0.5007733956671915	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000008243	0.4340036095782326	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001018	0.5452865863931641	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002315	0.3227206327633011	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001400	0.3783621211707669	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002613	0.4451319072597258	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002376	0.5341582887116709	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001931	0.3449772281262875	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000012076	0.2097740285183628	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001024	0.467388502622712	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002654	0.4896450979856983	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001488	0.3672338234892737	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000012672	0.2899412596819122	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000006794	0.4340036095782326	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000002408	0.4896450979856983	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001941	0.5675431817561504	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000058290	0.2160346640767189	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000014070	0.4503636634035511	gc	kendall	Kendall's Tau	SGCode	Archaea
UP000001227	0.585466895457135	codon	spearman	Spearman	SGCode	Bacteria
UP000007719	0.5663496090748611	codon	spearman	Spearman	SGCode	Bacteria
UP000001231	0.6475980761995249	codon	spearman	Spearman	SGCode	Bacteria
UP000002257	0.7089327033426532	codon	spearman	Spearman	SGCode	Bacteria
UP000000231	0.671494684177367	codon	spearman	Spearman	SGCode	Bacteria
UP000001235	0.6550133505175528	codon	spearman	Spearman	SGCode	Bacteria
UP000007721	0.6722912377766285	codon	spearman	Spearman	SGCode	Bacteria
UP000005753	0.2795903133407542	codon	spearman	Spearman	SGCode	Bacteria
UP000007727	0.464390748369401	codon	spearman	Spearman	SGCode	Bacteria
UP000000233	0.7256603289271427	codon	spearman	Spearman	SGCode	Bacteria
UP000001258	0.589449663453442	codon	spearman	Spearman	SGCode	Bacteria
UP000007730	0.6874257561625952	codon	spearman	Spearman	SGCode	Bacteria
UP000005766	0.7554167850323593	codon	spearman	Spearman	SGCode	Bacteria
UP000002301	0.6953912921552093	codon	spearman	Spearman	SGCode	Bacteria
UP000001259	0.5687392698726453	codon	spearman	Spearman	SGCode	Bacteria
UP000000235	0.7702673304857817	codon	spearman	Spearman	SGCode	Bacteria
UP000000238	0.693001631357425	codon	spearman	Spearman	SGCode	Bacteria
UP000002318	0.6626358442329272	codon	spearman	Spearman	SGCode	Bacteria
UP000007742	0.65127415464079	codon	spearman	Spearman	SGCode	Bacteria
UP000001275	0.6691050233795828	codon	spearman	Spearman	SGCode	Bacteria
UP000000239	0.7543362585005535	codon	spearman	Spearman	SGCode	Bacteria
UP000002350	0.6738843449751513	codon	spearman	Spearman	SGCode	Bacteria
UP000007753	0.7113223641404375	codon	spearman	Spearman	SGCode	Bacteria
UP000007794	0.6802567737692425	codon	spearman	Spearman	SGCode	Bacteria
UP000007803	0.3566008433698241	codon	spearman	Spearman	SGCode	Bacteria
UP000000245	0.7232706681293586	codon	spearman	Spearman	SGCode	Bacteria
UP000000246	0.7001706137507777	codon	spearman	Spearman	SGCode	Bacteria
UP000002357	0.6953912921552093	codon	spearman	Spearman	SGCode	Bacteria
UP000016160	0.4253596220055919	codon	spearman	Spearman	SGCode	Bacteria
UP000001303	0.372034100497041	codon	spearman	Spearman	SGCode	Bacteria
UP000007809	0.7718604376843045	codon	spearman	Spearman	SGCode	Bacteria
UP000002361	0.7304396505227113	codon	spearman	Spearman	SGCode	Bacteria
UP000000247	0.5886531098541805	codon	spearman	Spearman	SGCode	Bacteria
UP000001306	0.7654880088902132	codon	spearman	Spearman	SGCode	Bacteria
UP000002366	0.6860906262720351	codon	spearman	Spearman	SGCode	Bacteria
UP000007841	0.6762740057729355	codon	spearman	Spearman	SGCode	Bacteria
UP000001319	0.3934974780351356	codon	spearman	Spearman	SGCode	Bacteria
UP000000248	0.693001631357425	codon	spearman	Spearman	SGCode	Bacteria
UP000007842	0.7973501528606695	codon	spearman	Spearman	SGCode	Bacteria
UP000002382	0.589449663453442	codon	spearman	Spearman	SGCode	Bacteria
UP000000260	0.706543042544869	codon	spearman	Spearman	SGCode	Bacteria
UP000001349	0.5615702874792927	codon	spearman	Spearman	SGCode	Bacteria
UP000002383	0.6937981849566864	codon	spearman	Spearman	SGCode	Bacteria
UP000001362	0.753539704901292	codon	spearman	Spearman	SGCode	Bacteria
UP000004073	0.6627325945854915	codon	spearman	Spearman	SGCode	Bacteria
UP000010481	0.567942716273384	codon	spearman	Spearman	SGCode	Bacteria
UP000010716	0.5331008170804855	codon	spearman	Spearman	SGCode	Bacteria
UP000002384	0.702560274548562	codon	spearman	Spearman	SGCode	Bacteria
UP000016587	0.5195483023569882	codon	spearman	Spearman	SGCode	Bacteria
UP000000263	0.7463707225079393	codon	spearman	Spearman	SGCode	Bacteria
UP000005954	0.6173290394275913	codon	spearman	Spearman	SGCode	Bacteria
UP000004184	0.8100950104488519	codon	spearman	Spearman	SGCode	Bacteria
UP000007882	0.7049499353463462	codon	spearman	Spearman	SGCode	Bacteria
UP000001364	0.6691050233795828	codon	spearman	Spearman	SGCode	Bacteria
UP000007883	0.7591155800961219	codon	spearman	Spearman	SGCode	Bacteria
UP000025229	0.6506604976504043	codon	spearman	Spearman	SGCode	Bacteria
UP000007938	0.7686742232872588	codon	spearman	Spearman	SGCode	Bacteria
UP000006001	0.3773659540699707	codon	spearman	Spearman	SGCode	Bacteria
UP000001366	0.5233357147147452	codon	spearman	Spearman	SGCode	Bacteria
UP000007962	0.7710638840850431	codon	spearman	Spearman	SGCode	Bacteria
UP000010798	0.6538363616896778	codon	spearman	Spearman	SGCode	Bacteria
UP000002402	0.728049989724927	codon	spearman	Spearman	SGCode	Bacteria
UP000002407	0.4699666235642308	codon	spearman	Spearman	SGCode	Bacteria
UP000002411	0.476339052358322	codon	spearman	Spearman	SGCode	Bacteria
UP000001369	0.4389010331930358	codon	spearman	Spearman	SGCode	Bacteria
UP000001377	0.6388359866076493	codon	spearman	Spearman	SGCode	Bacteria
UP000006034	0.6292773434165123	codon	spearman	Spearman	SGCode	Bacteria
UP000001382	0.7487603833057237	codon	spearman	Spearman	SGCode	Bacteria
UP000001383	0.4882873563472432	codon	spearman	Spearman	SGCode	Bacteria
UP000000268	0.7312362041219725	codon	spearman	Spearman	SGCode	Bacteria
UP000001397	0.5738016279653728	codon	spearman	Spearman	SGCode	Bacteria
UP000007966	0.7272534361256656	codon	spearman	Spearman	SGCode	Bacteria
UP000001399	0.1927303103666725	codon	spearman	Spearman	SGCode	Bacteria
UP000001405	0.5041620911242091	codon	spearman	Spearman	SGCode	Bacteria
UP000001408	0.5918393242512262	codon	spearman	Spearman	SGCode	Bacteria
UP000000269	0.5042184283324712	codon	spearman	Spearman	SGCode	Bacteria
UP000002415	0.489880463545766	codon	spearman	Spearman	SGCode	Bacteria
UP000001409	0.7368120793168025	codon	spearman	Spearman	SGCode	Bacteria
UP000002417	0.7073395961441304	codon	spearman	Spearman	SGCode	Bacteria
UP000007967	0.7272534361256656	codon	spearman	Spearman	SGCode	Bacteria
UP000001410	0.7161016857360059	codon	spearman	Spearman	SGCode	Bacteria
UP000000270	0.7392017401145867	codon	spearman	Spearman	SGCode	Bacteria
UP000002420	0.6547670585928775	codon	spearman	Spearman	SGCode	Bacteria
UP000000272	0.7105258105411761	codon	spearman	Spearman	SGCode	Bacteria
UP000002427	0.6722912377766285	codon	spearman	Spearman	SGCode	Bacteria
UP000001412	0.4126147644174093	codon	spearman	Spearman	SGCode	Bacteria
UP000002429	0.7049499353463462	codon	spearman	Spearman	SGCode	Bacteria
UP000001414	0.567942716273384	codon	spearman	Spearman	SGCode	Bacteria
UP000001415	0.5551978586852014	codon	spearman	Spearman	SGCode	Bacteria
UP000000276	0.6348532186113423	codon	spearman	Spearman	SGCode	Bacteria
