Archaea	Bacteria	Eukaryotes	Viruses
	3183.0	12436.0	6.0
	3964.0	13805.0	2.0
	6559.0	15449.0	105.0
	2216.0	20761.0	2.0
	5238.0	8311.0	3.0
	2850.0	15890.0	42.0
	2924.0	7223.0	198.0
	3062.0	10233.0	376.0
	2871.0	3576.0	5.0
	7126.0	26712.0	1.0
	1834.0	11880.0	5.0
	7464.0	19349.0	72.0
	7079.0	5744.0	88.0
	761.0	9986.0	89.0
	2848.0	6442.0	142.0
	1527.0	20403.0	54.0
	3400.0	6452.0	2.0
	5501.0	18044.0	4.0
	2752.0	21374.0	1.0
	5035.0	12152.0	5.0
	5540.0	5238.0	204.0
	8128.0	13175.0	10.0
	3506.0	10919.0	99.0
	1412.0	9395.0	239.0
	1376.0	9153.0	81.0
	825.0	19288.0	2.0
	1872.0	17675.0	186.0
	642.0	19727.0	51.0
	3872.0	4883.0	4.0
	3480.0	6462.0	2.0
	3313.0	39903.0	2.0
	3671.0	5135.0	66.0
	1426.0	13515.0	2.0
	5007.0	9624.0	49.0
	2640.0	17633.0	3.0
	3824.0	6725.0	166.0
	3691.0	19655.0	3.0
	5420.0	19789.0	72.0
	3710.0	19242.0	5.0
	1881.0	12368.0	8.0
	6614.0	12109.0	2.0
	1953.0	31989.0	7.0
	1870.0	11614.0	75.0
	2028.0	11735.0	48.0
	7577.0	20358.0	34.0
	611.0	6060.0	72.0
	2859.0	15324.0	56.0
	3344.0	14212.0	1.0
	2829.0	7993.0	6.0
	2840.0	23887.0	1.0
	3684.0	16388.0	57.0
	3528.0	24605.0	2.0
	3455.0	3746.0	77.0
	1999.0	13148.0	3.0
	1618.0	706.0	30.0
	2723.0	22958.0	2.0
	2753.0	21032.0	148.0
	4556.0	18790.0	196.0
	3442.0	14456.0	3.0
	2528.0	17050.0	65.0
	3271.0	11722.0	59.0
	2619.0	26820.0	61.0
	3029.0	10583.0	22.0
	6459.0	17895.0	12.0
	4397.0	5132.0	7.0
	7213.0	14094.0	11.0
	7672.0	5301.0	94.0
	5042.0	15439.0	99.0
	5251.0	36519.0	2.0
	3406.0	9650.0	67.0
	2494.0	14304.0	67.0
	1552.0	5447.0	227.0
	4865.0	14367.0	6.0
	3991.0	5713.0	12.0
	1067.0	5887.0	53.0
	894.0	21157.0	41.0
	5313.0	10657.0	57.0
	5431.0	16971.0	5.0
	3133.0	9181.0	261.0
	5426.0	6602.0	2.0
	3506.0	5595.0	3.0
	5488.0	8572.0	60.0
	3087.0	13735.0	156.0
	2452.0	6029.0	214.0
	2906.0	9251.0	65.0
	2305.0	5055.0	4.0
	3168.0	17519.0	50.0
	1724.0	12613.0	9.0
	4471.0	9587.0	12.0
	4737.0	16598.0	2.0
	4345.0	8561.0	309.0
	3969.0	12315.0	2.0
	2007.0	13385.0	2.0
	2974.0	5290.0	56.0
	2816.0	16663.0	168.0
	2157.0	5187.0	1.0
	2451.0	11592.0	2.0
	2196.0	13267.0	3.0
	4920.0	5257.0	69.0
	2044.0	15507.0	8.0
	6265.0	14792.0	209.0
	3997.0	27417.0	154.0
	2374.0	11914.0	2.0
	2066.0	7730.0	295.0
	10034.0	13815.0	6.0
	1028.0	8814.0	49.0
	3992.0	26970.0	63.0
	1930.0	29159.0	1.0
	3219.0	10028.0	2.0
	1924.0	24934.0	5.0
	4959.0	20174.0	158.0
	1906.0	12053.0	1.0
	3112.0	16626.0	7.0
	2284.0	6448.0	9.0
	5912.0	7743.0	110.0
	3083.0	16814.0	262.0
	4846.0	14578.0	70.0
	4355.0	14146.0	53.0
	2004.0	43652.0	5.0
	4633.0	13082.0	111.0
	2481.0	17050.0	69.0
	5029.0	10417.0	5.0
	3202.0	34345.0	48.0
	2187.0	8878.0	34.0
	580.0	10191.0	43.0
	3967.0	12938.0	59.0
